item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10023099,圣岛咖啡(一代天骄店),4.0,0.0,7.6,7.8,7.6,48 条点评,咖啡厅 , 人民公园 临园路东段55号，一代天骄大厦3楼,104.75517928015677,31.46874612706146
10330717,也留香,3.0,0.0,7.1,6.8,7.0,3 条点评,川菜 , 园艺山 城郊乡科创园区新庙村餐厅,104.71717350114896,31.489747957825198
10332260,樊得很,3.0,0.0,7.3,7.2,7.3,4 条点评,火锅 , 六里村 中经路,104.76837771021809,31.493796051375803
10333390,三顾冒菜,3.0,0.0,7.1,7.1,7.1,1 条点评,川菜 , 安县其他 安昌镇步行街,104.57375300783407,31.540642582807937
10335487,杰士休闲驿站(江油清香园店),4.0,0.0,7.8,7.7,7.7,7 条点评,其他 , 江油市中心城区 清香园路12号,104.75042663765277,31.781433473480604
10345515,乐薯,4.0,0.0,8.5,8.3,8.4,50 条点评,快餐简餐 , 长虹国际城 长虹缤纷时代广场4楼,113.88062681256646,22.598762701185713
10346789,尚品商务会说,3.0,0.0,7.4,7.5,7.3,4 条点评,咖啡厅 , 武都长钢街道 煽水路,105.13455295643098,33.29391719564859
10534502,金港湾休闲会所,3.0,0.0,6.9,6.9,6.9,1 条点评,咖啡厅 , 太平镇 太白广场诗城大酒店,104.7405110228573,31.778980359022885
10534539,茶鬼商务休闲会所,3.0,0.0,7.0,7.0,7.0,1 条点评,茶馆 , 涪城万达广场 滨河北路中段,104.72683031502531,31.459082603005047
10534542,开新商务休闲会所,3.0,0.0,7.0,7.0,7.0,1 条点评,咖啡厅 , 平武县其他 鹤翔街16-1号,104.40430826693263,32.446911722865075
10534572,往钰食府滋补汤锅,3.0,0.0,7.2,6.9,7.1,3 条点评,火锅 , 塘汛 二环路南段,104.77522566918852,31.38631133600127
10534608,李记片片鱼,3.0,0.0,6.9,6.9,6.9,2 条点评,火锅 , 安昌路 安昌西路2-2号,104.74522486485141,31.466183867462078
10534629,重庆幺妹豆花鱼,3.0,0.0,6.3,6.3,6.2,8 条点评,火锅 , 五里堆 海天名苑南门附近,104.76505102889756,31.486743566677983
10534644,子龙鱼庄,3.0,0.0,7.0,6.9,7.0,1 条点评,火锅 , 高水 高水南街6-28号,104.75057563329956,31.496504560453268
10534655,玉林串串香,3.0,0.0,7.1,6.8,7.0,3 条点评,火锅 , 南河 文兴街16号 ,126.62812640065899,45.73055077584
10534666,聚味庄特色干锅汤锅,4.0,0.0,8.1,7.8,8.1,6 条点评,川菜 , 高新区 弘光路17号,104.65860964122312,31.463667161828155
10534683,陈稀饭,3.0,0.0,7.0,6.9,6.7,6 条点评,快餐简餐 , 六里村 阳光路与华兴南街交叉口处,104.77696379153672,31.490251926947273
10534690,肥肠鸡,3.0,0.0,7.3,7.3,7.3,1 条点评,火锅 , 高新区 飞云大道东段16号,104.70203433054184,31.448375529599282
10534699,野山椒火锅城(北门店),5.0,0.0,9.0,9.0,8.9,63 条点评,火锅 , 江油市中心城区 江油市白云路90号,104.74795308605813,31.78317475051881
10534705,苗氏火锅,2.0,0.0,5.9,6.5,6.7,4 条点评,火锅 , 三台县中心城区 九倒拐,105.0929568760341,31.095663432357878
10534768,蒋甘锅,3.0,0.0,7.3,7.0,7.3,12 条点评,火锅 , 花荄镇 文竹街,104.56333811573447,31.54875596210758
10534778,开元口口香米粉,3.0,0.0,6.8,6.4,6.8,1 条点评,火锅 , 塘汛 塘汛南街239号,120.98054174383113,31.37988389144655
10534784,纳奇比萨西餐厅,3.0,0.0,6.4,6.4,6.4,1 条点评,西餐 , 南湖 六一堂路669号,120.84453542647287,30.71635792123517
10534797,本味轩乡村家宴坊,3.0,0.0,6.8,6.3,6.8,1 条点评,东北菜 , 南湖 六一堂路610-2号,120.84453542647287,30.71635792123517
10534897,金手指纯清油小火锅,3.0,0.0,7.2,7.2,7.2,1 条点评,火锅 , 凯德广场 涪华路11号,104.741155375603,31.469961273055972
10534919,兄弟连烧烤庄,3.0,0.0,7.3,6.6,7.3,1 条点评,烧烤 , 安昌路 安昌西路40号,104.73815801847226,31.465211869842754
10534952,雨露缘柴火鸡,4.0,0.0,8.2,7.9,8.2,14 条点评,火锅 , 江油市中心城区 诗城路青少年宫对面小巷内150米处,113.58217734396166,37.86890735862165
10534971,醋水芙蓉饮吧,3.0,0.0,7.3,7.3,7.3,1 条点评,咖啡厅 , 芙蓉汉城 芙蓉汉城16-2号,104.77741958995588,31.479779348411565
10534984,洺如意滋味馆,3.0,0.0,7.7,7.2,7.7,1 条点评,咖啡厅 , 圣水 花园星河湾底商,116.03539784870385,39.91215206880499
10534992,三正尚岛,3.0,0.0,7.2,7.6,7.6,1 条点评,咖啡厅 , 小岛 高水中街3号,104.74863754994145,31.502488658703477
10534999,海阔天空茶楼,3.0,0.0,7.3,7.3,7.3,1 条点评,茶馆 , 开元场 滨江东路南段11-1号,104.7679441268942,31.470328667374474
10535000,蒋干鍋北川总店,3.0,0.0,7.0,6.6,7.0,2 条点评,川菜 , 永昌镇 安州大道西段,104.42922706155521,31.650099147331993
10535010,江南小屋,3.0,0.0,7.3,7.3,7.3,1 条点评,咖啡厅 , 人民公园 安昌路18号,104.754978281604,31.465464111899763
10535094,爱侬音乐茶居,3.0,0.0,7.1,7.2,7.3,2 条点评,茶馆 , 五一广场 跃进路北段34号,104.74988365598895,31.48944753625946
10535161,福缘休闲会所,3.0,0.0,6.8,6.8,6.8,1 条点评,咖啡厅 , 六里村 中经路38-4号,104.7713169451857,31.497716420626915
10535175,巧克力咖啡馆,3.0,0.0,7.2,7.3,7.3,11 条点评,咖啡厅 , 步行街 翠花街2-12号,104.76082585521952,31.465565621352297
10535210,龙翔春茶语,3.0,0.0,6.8,6.8,6.4,1 条点评,茶馆 , 开元场 芙蓉溪路36-12号,104.77092649040766,31.470501003563957
10535246,香飘飘茶楼,3.0,0.0,7.0,7.0,7.0,1 条点评,茶馆 , 芙蓉汉城 芙蓉汉城48-6号,104.78116950522251,31.484810587036126
10535277,三木森会所,3.0,0.0,7.5,7.5,7.5,3 条点评,咖啡厅 , 五一广场 平政一巷28-1号旁,104.75255314508311,31.48802890659129
10535285,东津休闲茶楼,3.0,0.0,6.3,6.3,6.3,2 条点评,茶馆 , 沈家坝 沈家坝商业城4-3号,104.78717309743732,31.46759217840243
10535289,紫藤阁休闲茶屋,3.0,0.0,6.8,6.8,6.8,1 条点评,茶馆 , 五一广场 平政一巷28-31号旁,104.75255314508311,31.48802890659129
10535314,冰咖啡,3.0,0.0,7.0,6.9,7.0,1 条点评,咖啡厅 , 人民公园 安昌路18号,104.754978281604,31.465464111899763
10535315,丹桂香咖啡茶艺坊,3.0,0.0,7.6,7.6,7.6,2 条点评,咖啡厅 , 芙蓉汉城 芙蓉汉城36-17号,104.7783319395742,31.480660856030898
10535374,廊桥会所,3.0,0.0,7.3,7.3,7.3,2 条点评,咖啡厅 , 御营坝 滨河南路东段14号,104.75192624461687,31.462832010085506
